Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB generic accession number (TrEMBL or SwissProt not differentiated) ID	Gene start (bp)	Gene end (bp)
YIR030W-A	YIR030W-A_mRNA	A0A023PZK4	A0A023PZK4	412899	413282
YLR029C	YLR029C_mRNA	P05748	A0A8H4BX09	201976	202590
YLR029C	YLR029C_mRNA	P05748	P05748	201976	202590
YER053C	YER053C_mRNA	P40035	P40035	258737	259639
YER053C	YER053C_mRNA	P40035	A0A6A5Q044	258737	259639
YGR245C	YGR245C_mRNA	P53313	A0A6A5Q1C8	979765	982068
YGR245C	YGR245C_mRNA	P53313	P53313	979765	982068
YOR128C	YOR128C_mRNA	P21264	P21264	564476	566191
YOR128C	YOR128C_mRNA	P21264	A0A8H4F7A0	564476	566191
YIL047C-A	YIL047C-A_mRNA	A0A023PYH8	A0A023PYH8	265099	265467
YDR384C	YDR384C_mRNA	Q12359	A0A6A5PYE9	1241204	1242031
YDR384C	YDR384C_mRNA	Q12359	Q12359	1241204	1242031
YDR149C	YDR149C_mRNA	A0A023PXH9	A0A023PXH9	755555	756262
YML010W	YML010W_mRNA	P27692	P27692	247677	250868
YML010W	YML010W_mRNA	P27692	A0A8H4FB38	247677	250868
YOL125W	YOL125W_mRNA	Q12383	A0A8H4F722	83834	85264
YOL125W	YOL125W_mRNA	Q12383	Q12383	83834	85264
YOL004W	YOL004W_mRNA	P22579	P22579	316938	321548
YJL165C	YJL165C_mRNA	P38970	A0A8H4BY97	106894	109461
YJL165C	YJL165C_mRNA	P38970	P38970	106894	109461
YLR373C	YLR373C_mRNA	Q05934	Q05934	868662	871367
YLR373C	YLR373C_mRNA	Q05934	A0A8H4F8L3	868662	871367
YDR093W	YDR093W_mRNA	Q12675	Q12675	631282	636120
YDR093W	YDR093W_mRNA	Q12675	A0A8H8UN09	631282	636120
YDR071C	YDR071C_mRNA	Q12447	Q12447	588827	589402
YDR071C	YDR071C_mRNA	Q12447	A0A6A5PZG5	588827	589402
YBR256C	YBR256C_mRNA	P38145	P38145	727386	728102
YMR150C	YMR150C_mRNA	P28627	A0A7I9G4G1	561956	562528
YMR150C	YMR150C_mRNA	P28627	P28627	561956	562528
YHR112C	YHR112C_mRNA	P38716	A0A6A5PUT8	334527	335663
YHR112C	YHR112C_mRNA	P38716	P38716	334527	335663
YNR003W-A	YNR003W-A_mRNA	Q8TGL7	Q8TGL7	634420	634518
YPL077C	YPL077C_mRNA	Q02831	A0A6A5Q118	409368	410090
YPL077C	YPL077C_mRNA	Q02831	Q02831	409368	410090
YOR177C	YOR177C_mRNA	Q08550	A0A8H4F7B5	665785	667179
YOR177C	YOR177C_mRNA	Q08550	Q08550	665785	667179
YPR016W-A	YPR016W-A_mRNA	P0C5R5	P0C5R5	593096	593356
YIL156W	YIL156W_mRNA	P40453	P40453	48091	51306
YIL156W	YIL156W_mRNA	P40453	A0A8H4C1G2	48091	51306
YOR166C	YOR166C_mRNA	Q12104	A0A8H4BV84	647126	648502
YOR166C	YOR166C_mRNA	Q12104	Q12104	647126	648502
YDL143W	YDL143W_mRNA	P39078	P39078	199996	201582
YDL143W	YDL143W_mRNA	P39078	A0A6A5PXX6	199996	201582
YOR006C	YOR006C_mRNA	Q12094	Q12094	337680	338621
YOR324C	YOR324C_mRNA	Q99332	Q99332	923232	925040
YOR324C	YOR324C_mRNA	Q99332	A0A8H4F7M9	923232	925040
YKL009W	YKL009W_mRNA	P33201	P33201	426242	426952
YKL009W	YKL009W_mRNA	P33201	A0A6A5PVB7	426242	426952
YIR012W	YIR012W_mRNA	P35184	A0A8H4F9G3	378486	379781
YIR012W	YIR012W_mRNA	P35184	P35184	378486	379781
YGR287C	YGR287C_mRNA	P53051	E1AFY6	1067222	1068991
YGR287C	YGR287C_mRNA	P53051	P53051	1067222	1068991
YLR092W	YLR092W_mRNA	Q12325	A0A8H4BY11	323544	326225
YLR092W	YLR092W_mRNA	Q12325	Q12325	323544	326225
YNL307C	YNL307C_mRNA	P21965	A0A6A5Q795	56446	57573
YNL307C	YNL307C_mRNA	P21965	P21965	56446	57573
YNL131W	YNL131W_mRNA	P49334	P49334	378767	379225
YNL131W	YNL131W_mRNA	P49334	A0A6A5Q4U9	378767	379225
YLL018C-A	YLL018C-A_mRNA	Q3E731	Q3E731	108676	108972
YLL018C-A	YLL018C-A_mRNA	Q3E731	A0A6A5PTM2	108676	108972
YDR032C	YDR032C_mRNA	Q12335	A0A6A5PXG1	504099	504695
YDR032C	YDR032C_mRNA	Q12335	Q12335	504099	504695
YKL108W	YKL108W_mRNA	P34252	A0A8H4F901	234426	235787
YKL108W	YKL108W_mRNA	P34252	P34252	234426	235787
YPL272C	YPL272C_mRNA	Q08984	Q08984	26611	28164
YPL272C	YPL272C_mRNA	Q08984	A0A6L1A2N6	26611	28164
YMR067C	YMR067C_mRNA	P54730	A0A8H4F881	404323	405573
YMR067C	YMR067C_mRNA	P54730	P54730	404323	405573
YMR179W	YMR179W_mRNA	P35209	P35209	619858	622134
YMR179W	YMR179W_mRNA	P35209	A0A8H4F9N4	619858	622134
YNL265C	YNL265C_mRNA	P53843	P53843	144280	145281
YOL024W	YOL024W_mRNA	Q08172	Q08172	277086	277604
YOL024W	YOL024W_mRNA	Q08172	A0A8H4BVJ4	277086	277604
YOR033C	YOR033C_mRNA	P39875	A0A8H4BVN4	392416	394524
YOR033C	YOR033C_mRNA	P39875	P39875	392416	394524
YOL033W	YOL033W_mRNA	P48525	P48525	263475	265085
YOL033W	YOL033W_mRNA	P48525	A0A6A5Q775	263475	265085
YMR126C	YMR126C_mRNA	Q04216	Q04216	520761	521789
YMR126C	YMR126C_mRNA	Q04216	A0A8H4BWF5	520761	521789
YOL070C	YOL070C_mRNA	Q08229	A0A6A5Q239	197220	198725
YOL070C	YOL070C_mRNA	Q08229	Q08229	197220	198725
YOR116C	YOR116C_mRNA	P04051	A0A8H4BX36	539763	544145
YOR116C	YOR116C_mRNA	P04051	P04051	539763	544145
YPR050C	YPR050C_mRNA	A0A023PZM3	A0A023PZM3	664953	665366
YGL244W	YGL244W_mRNA	P53064	A0A6L0YX59	41498	43174
YGL244W	YGL244W_mRNA	P53064	P53064	41498	43174
YGL057C	YGL057C_mRNA	P53171	P53171	394966	395829
YBR162W-A	YBR162W-A_mRNA	P38374	P38374	565231	565428
YBR162W-A	YBR162W-A_mRNA	P38374	A0A6A5Q262	565231	565428
YNL175C	YNL175C_mRNA	P53883	A0A6A5Q8B1	307401	308612
YNL175C	YNL175C_mRNA	P53883	P53883	307401	308612
YNL042W	YNL042W_mRNA	P53958	A0A8H4BY42	548100	549290
YNL042W	YNL042W_mRNA	P53958	P53958	548100	549290
YIL112W	YIL112W_mRNA	P40480	A0A8H4BZ30	151595	154846
YIL112W	YIL112W_mRNA	P40480	P40480	151595	154846
YDR063W	YDR063W_mRNA	Q12156	A0A8H8UMY0	578663	579112
YDR063W	YDR063W_mRNA	Q12156	Q12156	578663	579112
YOL067C	YOL067C_mRNA	P32607	A0A8H4BUJ3	201985	202518
YOL067C	YOL067C_mRNA	P32607	P32607	201985	202518
YOR145C	YOR145C_mRNA	Q99216	A0A8H4F7A6	605347	606171
YOR145C	YOR145C_mRNA	Q99216	Q99216	605347	606171
YKR097W	YKR097W_mRNA	P10963	A0A6A5PUK6	631152	632801
YKR097W	YKR097W_mRNA	P10963	P10963	631152	632801
YBL077W	YBL077W_mRNA	P38183	P38183	80897	81328
YDL166C	YDL166C_mRNA	Q12055	Q12055	163449	164042
YDL166C	YDL166C_mRNA	Q12055	A0A8H8UMD1	163449	164042
YLR066W	YLR066W_mRNA	Q12133	A0A6A5PW30	267169	267723
YLR066W	YLR066W_mRNA	Q12133	Q12133	267169	267723
YGL187C	YGL187C_mRNA	P04037	P04037	149704	150171
YGL187C	YGL187C_mRNA	P04037	A0A6A5PV33	149704	150171
YBR156C	YBR156C_mRNA	P38283	P38283	551104	553200
YBR156C	YBR156C_mRNA	P38283	A0A8H4BV83	551104	553200
YBL012C	YBL012C_mRNA	P38209	P38209	203406	203807
YOR304C-A	YOR304C-A_mRNA	O14468	A0A8H4BXD1	888520	888750
YOR304C-A	YOR304C-A_mRNA	O14468	O14468	888520	888750
YPR108W-A	YPR108W-A_mRNA	Q3E7B3	A0A8H4BU75	744175	744387
YPR108W-A	YPR108W-A_mRNA	Q3E7B3	Q3E7B3	744175	744387
YOR192C	YOR192C_mRNA	Q08579	A0A8H4F7I1	698768	700567
YOR192C	YOR192C_mRNA	Q08579	Q08579	698768	700567
YML032C	YML032C_mRNA	P06778	A0A8H4BXK9	212515	213930
YML032C	YML032C_mRNA	P06778	P06778	212515	213930
YNL022C	YNL022C_mRNA	P53972	A0A6A5Q5L4	591427	592899
YNL022C	YNL022C_mRNA	P53972	P53972	591427	592899
YEL034C-A	YEL034C-A_mRNA	Q02217	Q02217	85613	86215
YJR117W	YJR117W_mRNA	P47154	P47154	642007	643368
YJR117W	YJR117W_mRNA	P47154	A0A8H4BZW9	642007	643368
YBL008W-A	YBL008W-A_mRNA	Q3E821	Q3E821	209409	209648
YBL008W-A	YBL008W-A_mRNA	Q3E821	A0A8H4BSZ4	209409	209648
YBR297W	YBR297W_mRNA	P38157	P38157	800523	801929
YBR297W	YBR297W_mRNA	P38157	A0A8H4BTH4	800523	801929
YLR146W-A	YLR146W-A_mRNA	Q2V2P1	A0A6A5PZM5	433870	434058
YLR146W-A	YLR146W-A_mRNA	Q2V2P1	Q2V2P1	433870	434058
YER155C	YER155C_mRNA	P39960	P39960	476345	482848
YER155C	YER155C_mRNA	P39960	A0A8H8UM19	476345	482848
YIL025C	YIL025C_mRNA	P40542	P40542	308201	308575
YML018C	YML018C_mRNA	Q03730	Q03730	234771	235952
YML018C	YML018C_mRNA	Q03730	A0A8H4BYC9	234771	235952
YHR027C	YHR027C_mRNA	P38764	P38764	161730	164711
YHR027C	YHR027C_mRNA	P38764	A0A8H4FB98	161730	164711
YDR004W	YDR004W_mRNA	P25301	P25301	455201	456583
YDR004W	YDR004W_mRNA	P25301	A0A8H8UMS6	455201	456583
YNL056W	YNL056W_mRNA	P53949	P53949	517249	517842
YNL056W	YNL056W_mRNA	P53949	A0A8H4BVS8	517249	517842
YGR180C	YGR180C_mRNA	P49723	A0A6A5PXA7	855264	856301
YGR180C	YGR180C_mRNA	P49723	P49723	855264	856301
YML081W	YML081W_mRNA	Q04545	Q04545	104777	108532
YML081W	YML081W_mRNA	Q04545	A0A8H4FB15	104777	108532
YGR116W	YGR116W_mRNA	P23615	A0A8H4FA17	720409	724764
YGR116W	YGR116W_mRNA	P23615	P23615	720409	724764
YDR151C	YDR151C_mRNA	P47976	A0A8H8UN59	764178	765155
YDR151C	YDR151C_mRNA	P47976	P47976	764178	765155
YDR037W	YDR037W_mRNA	P15180	P15180	525440	527215
YDR037W	YDR037W_mRNA	P15180	A0A8H8UMV7	525440	527215
YLR175W	YLR175W_mRNA	P33322	A0A8H4BY88	506134	507585
YLR175W	YLR175W_mRNA	P33322	P33322	506134	507585
YER050C	YER050C_mRNA	P40033	P40033	253971	254387
YER050C	YER050C_mRNA	P40033	A0A8H8ULR5	253971	254387
YGL181W	YGL181W_mRNA	P40956	A0A8H4FCS9	157906	159096
YGL181W	YGL181W_mRNA	P40956	P40956	157906	159096
YMR003W	YMR003W_mRNA	Q03673	A0A8H4F7Y9	273118	273714
YMR003W	YMR003W_mRNA	Q03673	Q03673	273118	273714
YDL175C	YDL175C_mRNA	Q12476	A0A6A5PYY4	144484	145518
YDL175C	YDL175C_mRNA	Q12476	Q12476	144484	145518
YHR214C-E	YHR214C-E_mRNA	Q8TGK0	A0A8H4BZU8	551200	551499
YHR214C-E	YHR214C-E_mRNA	Q8TGK0	Q8TGK0	551200	551499
YER031C	YER031C_mRNA	P38555	P38555	214076	214747
YER031C	YER031C_mRNA	P38555	A0A6A5Q0Y6	214076	214747
YAR033W	YAR033W_mRNA	P39552	E9P8L8	188107	188811
YAR033W	YAR033W_mRNA	P39552	P39552	188107	188811
YGR202C	YGR202C_mRNA	P13259	P13259	903474	904748
YGR202C	YGR202C_mRNA	P13259	A0A8H4C1V9	903474	904748
YPR070W	YPR070W_mRNA	Q12321	Q12321	685898	687598
YPR070W	YPR070W_mRNA	Q12321	A0A8H4BU46	685898	687598
YKL071W	YKL071W_mRNA	P36086	P36086	305114	305884
YKL071W	YKL071W_mRNA	P36086	A0A8H4BY68	305114	305884
YOL109W	YOL109W_mRNA	Q08245	A0A7I9C5R0	110297	110638
YOL109W	YOL109W_mRNA	Q08245	Q08245	110297	110638
YJR057W	YJR057W_mRNA	P00572	P00572	544062	544712
YMR221C	YMR221C_mRNA	Q04991	A0A6V8SA28	713931	715445
YMR221C	YMR221C_mRNA	Q04991	Q04991	713931	715445
YPL176C	YPL176C_mRNA	Q08919	A0A8H4BTQ5	216012	218363
YPL176C	YPL176C_mRNA	Q08919	Q08919	216012	218363
YDR286C	YDR286C_mRNA	Q05530	Q05530	1035231	1035575
YDR286C	YDR286C_mRNA	Q05530	A0A6A5Q3Z9	1035231	1035575
YJR160C	YJR160C_mRNA	P0CE00	P0CE00	738008	739816
YER037W	YER037W_mRNA	P40025	A0A6A5PX34	225889	226854
YER037W	YER037W_mRNA	P40025	P40025	225889	226854
YKL075C	YKL075C_mRNA	P36083	P36083	292956	294308
YKL075C	YKL075C_mRNA	P36083	A0A8H4FA98	292956	294308
YOR078W	YOR078W_mRNA	Q08492	Q08492	472725	473369
YOR078W	YOR078W_mRNA	Q08492	A0A8H4F8M8	472725	473369
YGL127C	YGL127C_mRNA	P38633	A0A8H4C1B0	270392	270775
YGL127C	YGL127C_mRNA	P38633	P38633	270392	270775
YGR203W	YGR203W_mRNA	P42937	P42937	905237	905683
YGR203W	YGR203W_mRNA	P42937	A0A6A5PXC8	905237	905683
YMR257C	YMR257C_mRNA	P08468	A0A8H4BXP3	779629	782031
YMR257C	YMR257C_mRNA	P08468	P08468	779629	782031
YPL220W	YPL220W_mRNA	P0CX43	P0CX43	135790	136443
YPL220W	YPL220W_mRNA	P0CX43	P0CX44	135790	136443
YPL220W	YPL220W_mRNA	P0CX43	A0A6A5Q2N7	135790	136443
YPL220W	YPL220W_mRNA	P0CX44	P0CX43	135790	136443
YPL220W	YPL220W_mRNA	P0CX44	P0CX44	135790	136443
YPL220W	YPL220W_mRNA	P0CX44	A0A6A5Q2N7	135790	136443
YOR134W	YOR134W_mRNA	Q12128	Q12128	578564	579793
YOR134W	YOR134W_mRNA	Q12128	A0A8H4BV69	578564	579793
YAR069C	YAR069C_mRNA	P0CX92	P0CX93	224011	224304
YAR069C	YAR069C_mRNA	P0CX92	P0CX92	224011	224304
YAR069C	YAR069C_mRNA	P0CX92	A0A8H4C2C1	224011	224304
YAR069C	YAR069C_mRNA	P0CX93	P0CX93	224011	224304
YAR069C	YAR069C_mRNA	P0CX93	P0CX92	224011	224304
YAR069C	YAR069C_mRNA	P0CX93	A0A8H4C2C1	224011	224304
YAR019W-A	YAR019W-A_mRNA	A0A023PXB0	A0A023PXB0	174998	175330
YKL206C	YKL206C_mRNA	P36040	P36040	49006	49809
YKL206C	YKL206C_mRNA	P36040	A0A6A5PUY4	49006	49809
YDR172W	YDR172W_mRNA	P05453	H9BH29	808324	810381
YDR172W	YDR172W_mRNA	P05453	P05453	808324	810381
YNL011C	YNL011C_mRNA	P53980	P53980	611836	613170
YNL011C	YNL011C_mRNA	P53980	A0A6A5Q7I6	611836	613170
YOR131C	YOR131C_mRNA	Q12486	Q12486	572182	572838
YOR131C	YOR131C_mRNA	Q12486	A0A8H4F8S8	572182	572838
YGL150C	YGL150C_mRNA	P53115	P53115	221104	225573
YGL150C	YGL150C_mRNA	P53115	A0A8H4C1V1	221104	225573
YEL049W	YEL049W_mRNA	P32612	P32612	63728	64090
YEL049W	YEL049W_mRNA	P32612	A0A6A5PXZ1	63728	64090
YLR402W	YLR402W_mRNA	Q06057	Q06057	924889	925080
YML068W	YML068W_mRNA	Q04638	A0A6V8RTK1	137550	138944
YML068W	YML068W_mRNA	Q04638	Q04638	137550	138944
YKL195W	YKL195W_mRNA	P36046	P36046	75821	77032
YKL195W	YKL195W_mRNA	P36046	A0A8H4F8P5	75821	77032
YNL329C	YNL329C_mRNA	P33760	P33760	19541	22633
YKL130C	YKL130C_mRNA	P36068	A0A6A5PSI4	195288	196028
YKL130C	YKL130C_mRNA	P36068	P36068	195288	196028
YNL074C	YNL074C_mRNA	P32047	P32047	486766	488124
YNL074C	YNL074C_mRNA	P32047	A0A8H4BWN2	486766	488124
YLR158C	YLR158C_mRNA	P0CZ17	P0CX78	482549	483637
YLR158C	YLR158C_mRNA	P0CZ17	P0CX79	482549	483637
YLR158C	YLR158C_mRNA	P0CZ17	P0CX77	482549	483637
YLR158C	YLR158C_mRNA	P0CZ17	P0CZ17	482549	483637
YLR158C	YLR158C_mRNA	P0CX77	P0CX78	482549	483637
YLR158C	YLR158C_mRNA	P0CX77	P0CX79	482549	483637
YLR158C	YLR158C_mRNA	P0CX77	P0CX77	482549	483637
YLR158C	YLR158C_mRNA	P0CX77	P0CZ17	482549	483637
YLR158C	YLR158C_mRNA	P0CX78	P0CX78	482549	483637
YLR158C	YLR158C_mRNA	P0CX78	P0CX79	482549	483637
YLR158C	YLR158C_mRNA	P0CX78	P0CX77	482549	483637
YLR158C	YLR158C_mRNA	P0CX78	P0CZ17	482549	483637
YLR158C	YLR158C_mRNA	P0CX79	P0CX78	482549	483637
YLR158C	YLR158C_mRNA	P0CX79	P0CX79	482549	483637
YLR158C	YLR158C_mRNA	P0CX79	P0CX77	482549	483637
YLR158C	YLR158C_mRNA	P0CX79	P0CZ17	482549	483637
YLL051C	YLL051C_mRNA	Q12473	A0A8H4BZ49	37333	39471
YLL051C	YLL051C_mRNA	Q12473	Q12473	37333	39471
YBR189W	YBR189W_mRNA	P05755	P05755	604508	605508
YEL006W	YEL006W_mRNA	P39953	P39953	144327	145334
YEL006W	YEL006W_mRNA	P39953	A0A6A5PWA2	144327	145334
YKL064W	YKL064W_mRNA	P35724	A0A8H4F923	317764	320673
YKL064W	YKL064W_mRNA	P35724	P35724	317764	320673
YBL096C	YBL096C_mRNA	P38171	P38171	43174	43482
YJL134W	YJL134W_mRNA	P47013	P47013	158188	159417
YJL134W	YJL134W_mRNA	P47013	A0A8H4C0V3	158188	159417
YOR368W	YOR368W_mRNA	P48581	A0A8H4BW58	1026843	1028048
YOR368W	YOR368W_mRNA	P48581	P48581	1026843	1028048
YCR073W-A	YCR073W-A_mRNA	P37262	P37262	246963	247910
YCR073W-A	YCR073W-A_mRNA	P37262	A0A6L0YPQ2	246963	247910
YOL111C	YOL111C_mRNA	Q12285	A0A8H4BUG1	108258	108896
YOL111C	YOL111C_mRNA	Q12285	Q12285	108258	108896
YDL174C	YDL174C_mRNA	P32891	P32891	145826	147589
YDL174C	YDL174C_mRNA	P32891	A0A8H8UMC4	145826	147589
YER100W	YER100W_mRNA	P33296	P33296	359562	360314
YER100W	YER100W_mRNA	P33296	A0A8H8ULW7	359562	360314
YJL219W	YJL219W_mRNA	P40885	P40885	19497	21200
YJL219W	YJL219W_mRNA	P40885	A0A8H4C0P7	19497	21200
YJL081C	YJL081C_mRNA	P80428	A0A6A5PX31	283802	285271
YJL081C	YJL081C_mRNA	P80428	P80428	283802	285271
YOR168W	YOR168W_mRNA	P13188	A0A8H4BUZ5	649303	651732
YOR168W	YOR168W_mRNA	P13188	P13188	649303	651732
YOR226C	YOR226C_mRNA	Q12056	A0A6A5Q6X3	761614	762084
YOR226C	YOR226C_mRNA	Q12056	Q12056	761614	762084
YPL065W	YPL065W_mRNA	Q02767	A0A8H4BUQ0	427927	428655
YPL065W	YPL065W_mRNA	Q02767	Q02767	427927	428655
YJL054W	YJL054W_mRNA	P47045	A0A8H4BZJ9	334265	335701
YJL054W	YJL054W_mRNA	P47045	P47045	334265	335701
YPL074W	YPL074W_mRNA	P40328	A0A6A5Q281	415763	418027
YPL074W	YPL074W_mRNA	P40328	P40328	415763	418027
YAR070C	YAR070C_mRNA	P39566	P39566	224563	224862
YDR080W	YDR080W_mRNA	P38959	P38959	604008	606986
YDR080W	YDR080W_mRNA	P38959	A0A8H8UMZ7	604008	606986
YCR039C	YCR039C_mRNA	P0CY09	P0CY08	199546	200178
YCR039C	YCR039C_mRNA	P0CY09	A0A6L1A8U8	199546	200178
YCR039C	YCR039C_mRNA	P0CY09	P0CY09	199546	200178
YCR039C	YCR039C_mRNA	P0CY08	P0CY08	199546	200178
YCR039C	YCR039C_mRNA	P0CY08	A0A6L1A8U8	199546	200178
YCR039C	YCR039C_mRNA	P0CY08	P0CY09	199546	200178
YER181C	YER181C_mRNA	P40097	A0A8H8UM45	551473	551796
YER181C	YER181C_mRNA	P40097	P40097	551473	551796
YNL093W	YNL093W_mRNA	P36019	P36019	449868	450530
YNL093W	YNL093W_mRNA	P36019	A0A6A5Q7W9	449868	450530
YJR137C	YJR137C_mRNA	P47169	P47169	678957	683285
YJR137C	YJR137C_mRNA	P47169	A0A023VU52	678957	683285
YDR503C	YDR503C_mRNA	Q04396	Q04396	1455042	1455866
YDR503C	YDR503C_mRNA	Q04396	A0A8H8UP32	1455042	1455866
YLR314C	YLR314C_mRNA	P32457	P32457	762575	764137
YDR069C	YDR069C_mRNA	P32571	A0A8H8UMY5	584939	587719
YDR069C	YDR069C_mRNA	P32571	P32571	584939	587719
YBR011C	YBR011C_mRNA	P00817	P00817	257112	257975
YMR117C	YMR117C_mRNA	Q04477	A0A6A5PV53	501250	501891
YMR117C	YMR117C_mRNA	Q04477	Q04477	501250	501891
YGR134W	YGR134W_mRNA	P53280	A0A8H4FBQ3	757770	761138
YGR134W	YGR134W_mRNA	P53280	P53280	757770	761138
YLR438C-A	YLR438C-A_mRNA	P57743	A0A6A5PUP8	1013909	1014178
YLR438C-A	YLR438C-A_mRNA	P57743	P57743	1013909	1014178
YLR209C	YLR209C_mRNA	Q05788	Q05788	560797	561732
YLR209C	YLR209C_mRNA	Q05788	A0A6A5PTD4	560797	561732
YLR019W	YLR019W_mRNA	Q07949	A0A8H4F8B5	180288	181481
YLR019W	YLR019W_mRNA	Q07949	Q07949	180288	181481
YNR047W	YNR047W_mRNA	P53739	A0A8H4BXC9	708523	711204
YNR047W	YNR047W_mRNA	P53739	P53739	708523	711204
YOL162W	YOL162W_mRNA	P0CF19	A0A8H4BUE0	10119	10766
YOL162W	YOL162W_mRNA	P0CF19	P0CF19	10119	10766
YER015W	YER015W_mRNA	P39518	P39518	184541	186775
YER015W	YER015W_mRNA	P39518	A0A8H8ULM6	184541	186775
YDR047W	YDR047W_mRNA	P32347	A0A8H8UMW7	551860	552948
YDR047W	YDR047W_mRNA	P32347	P32347	551860	552948
YFR008W	YFR008W_mRNA	P43592	P43592	160535	161200
YFR008W	YFR008W_mRNA	P43592	A0A6V8S9B5	160535	161200
YGR095C	YGR095C_mRNA	P53256	P53256	675671	676342
YGR095C	YGR095C_mRNA	P53256	A0A6A5PYM9	675671	676342
YKR026C	YKR026C_mRNA	P14741	A0A6A5PTZ1	488738	489655
YKR026C	YKR026C_mRNA	P14741	P14741	488738	489655
YER129W	YER129W_mRNA	P38990	A0A8H8ULZ3	417281	420709
YER129W	YER129W_mRNA	P38990	P38990	417281	420709
YDR215C	YDR215C_mRNA	Q12240	Q12240	894089	894502
YDR215C	YDR215C_mRNA	Q12240	A0A8H8UNC2	894089	894502
YGR214W	YGR214W_mRNA	P32905	P32905	920575	921788
YKL076C	YKL076C_mRNA	P36082	P36082	292838	293221
YMR060C	YMR060C_mRNA	P50110	P50110	391532	392515
YMR060C	YMR060C_mRNA	P50110	A0A8H4BXA2	391532	392515
YDR267C	YDR267C_mRNA	Q05583	A0A8H8UNH1	1002510	1003502
YDR267C	YDR267C_mRNA	Q05583	Q05583	1002510	1003502
YDR142C	YDR142C_mRNA	P39108	P39108	740473	741600
YDR142C	YDR142C_mRNA	P39108	A0A6A5Q1D9	740473	741600
YLR123C	YLR123C_mRNA	Q12174	Q12174	391078	391407
YPL032C	YPL032C_mRNA	Q03088	A0A8H4BTY5	488887	491364
YPL032C	YPL032C_mRNA	Q03088	Q03088	488887	491364
YNL183C	YNL183C_mRNA	P22211	P22211	293137	295509
YKL188C	YKL188C_mRNA	P34230	A0A8H4BXZ0	86225	88786
YKL188C	YKL188C_mRNA	P34230	P34230	86225	88786
YPL167C	YPL167C_mRNA	P14284	P14284	232593	237107
YPL167C	YPL167C_mRNA	P14284	A0A8H4F864	232593	237107
YLR353W	YLR353W_mRNA	P41698	P41698	834352	836163
Q0032	Q0032_mRNA	Q9ZZX7	Q9ZZX7	11667	11957
YCL032W	YCL032W_mRNA	P25344	P25344	63441	64481
YCL032W	YCL032W_mRNA	P25344	A0A8H4BSK7	63441	64481
YDL212W	YDL212W_mRNA	Q02774	A0A8H8UM89	78426	79058
YDL212W	YDL212W_mRNA	Q02774	Q02774	78426	79058
YLR361C	YLR361C_mRNA	Q05924	Q05924	847388	849124
YLR361C	YLR361C_mRNA	Q05924	A0A8H4FA70	847388	849124
YBL041W	YBL041W_mRNA	P23724	A0A6A5Q0P3	141247	141972
YBL041W	YBL041W_mRNA	P23724	P23724	141247	141972
YMR144W	YMR144W_mRNA	P40214	P40214	553362	554390
YMR144W	YMR144W_mRNA	P40214	A0A8H4BXW6	553362	554390
YGR269W	YGR269W_mRNA	P40326	P40326	1026636	1026962
YKL196C	YKL196C_mRNA	P36015	A0A6A5PU12	74932	75534
YKL196C	YKL196C_mRNA	P36015	P36015	74932	75534
YLL033W	YLL033W_mRNA	Q07843	A0A8H4BWX0	73409	74101
YLL033W	YLL033W_mRNA	Q07843	Q07843	73409	74101
YBL081W	YBL081W_mRNA	P38180	P38180	71866	72972
YBL081W	YBL081W_mRNA	P38180	A0A8H4BT54	71866	72972
YOR334W	YOR334W_mRNA	Q01926	Q01926	944596	946008
YOR334W	YOR334W_mRNA	Q01926	A0A8H4BVJ5	944596	946008
YNL057W	YNL057W_mRNA	P53948	P53948	516403	516735
YPR185W	YPR185W_mRNA	Q06628	Q06628	907218	909434
YJL038C	YJL038C_mRNA	P47055	P47055	375115	375774
YJL038C	YJL038C_mRNA	P47055	A0A8H4BYH4	375115	375774
YGR176W	YGR176W_mRNA	P32475	P32475	848720	849067
YMR068W	YMR068W_mRNA	Q04749	A0A6A5PRG1	406304	407584
YMR068W	YMR068W_mRNA	Q04749	Q04749	406304	407584
YNL238W	YNL238W_mRNA	P13134	P13134	202428	204872
YNL238W	YNL238W_mRNA	P13134	A0A8H4BVI5	202428	204872
YER172C-A	YER172C-A_mRNA	A0A023PYF7	A0A023PYF7	536275	536655
YDR249C	YDR249C_mRNA	Q03787	A0A6A5PYW9	958681	959802
YDR249C	YDR249C_mRNA	Q03787	Q03787	958681	959802
YFL002C	YFL002C_mRNA	P25808	P25808	145114	146934
YFL002C	YFL002C_mRNA	P25808	A0A8H8UL81	145114	146934
YPR160C-A	YPR160C-A_mRNA	Q8TGK8	Q8TGK8	862577	862861
YLR389C	YLR389C_mRNA	Q06010	A0A8H4F8U4	899577	902660
YLR389C	YLR389C_mRNA	Q06010	Q06010	899577	902660
YJR056C	YJR056C_mRNA	P47115	A0A7I9FKW1	541792	542502
YJR056C	YJR056C_mRNA	P47115	P47115	541792	542502
YJL072C	YJL072C_mRNA	P40359	A0A6A5PX40	305221	305862
YJL072C	YJL072C_mRNA	P40359	P40359	305221	305862
YOR241W	YOR241W_mRNA	Q08645	A0A8H4BX80	786995	788641
YOR241W	YOR241W_mRNA	Q08645	Q08645	786995	788641
YGL263W	YGL263W_mRNA	P53053	A0A8H4FCR2	2790	3932
YGL263W	YGL263W_mRNA	P53053	P53053	2790	3932
